Date : 2024-03-10 15:30:33
Directory : c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main
Total : 89 files,  16843 codes, 73 comments, 421 blanks, all 17337 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.css                       | CSS                |        141 |          0 |         25 |        166 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.html                      | HTML               |         78 |          5 |          7 |         90 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.spec.ts                   | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.ts                        | TypeScript         |        238 |         47 |         24 |        309 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\message.ts                               | TypeScript         |         24 |          1 |          6 |         31 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\LoginRequest.ts                         | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.css                     | CSS                |         61 |          0 |         11 |         72 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.html                    | HTML               |         32 |          0 |          0 |         32 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.spec.ts                 | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.ts                      | TypeScript         |         43 |          1 |          3 |         47 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\RegisterRequest.ts                   | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.css               | CSS                |         51 |          0 |         11 |         62 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.html              | HTML               |         48 |          0 |          0 |         48 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.spec.ts           | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.ts                | TypeScript         |         55 |          0 |          6 |         61 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\objects\product.ts                       | TypeScript         |          9 |          0 |          0 |          9 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.spec.ts          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.ts               | TypeScript         |         28 |          0 |          7 |         35 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.css                       | CSS                |         52 |          0 |         10 |         62 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.html                      | HTML               |         30 |          1 |          1 |         32 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.spec.ts                   | TypeScript         |         44 |          0 |          9 |         53 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.ts                        | TypeScript         |         83 |          0 |         10 |         93 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.css     | CSS                |         31 |          0 |          6 |         37 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.html    | HTML               |         27 |          0 |          0 |         27 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.spec.ts | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.ts      | TypeScript         |         49 |          2 |          8 |         59 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.css     | CSS                |         73 |          0 |         15 |         88 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.html    | HTML               |         33 |          0 |          0 |         33 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.spec.ts | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.ts      | TypeScript         |        101 |          0 |          6 |        107 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.css         | CSS                |         65 |          0 |         11 |         76 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.html        | HTML               |         37 |          0 |          2 |         39 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.spec.ts     | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.ts          | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.css                       | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.html                      | HTML               |         18 |          4 |          3 |         25 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.spec.ts                   | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.ts                        | TypeScript         |         84 |          0 |          3 |         87 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\download.service.ts                | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.css           | CSS                |         21 |          0 |          4 |         25 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.html          | HTML               |         20 |          4 |          1 |         25 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.spec.ts       | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.ts            | TypeScript         |         38 |          0 |          6 |         44 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\index.html                                        | HTML               |         16 |          1 |          3 |         20 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\main.ts                                           | TypeScript         |          4 |          0 |          4 |          8 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\polyfills.ts                                      | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\styles.css                                        | CSS                |         35 |          1 |         20 |         56 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\window-global-fix.ts                              | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.app.json                                     | JSON               |         14 |          1 |          0 |         15 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.json                                         | JSON with Comments |         32 |          1 |          0 |         33 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.spec.json                                    | JSON               |         13 |          1 |          1 |         15 |
| Total                                                                                                                                  |                    |     16,843 |         73 |        421 |     17,337 |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
